Cumulative  Test positive,Cumulative  tests performed,Date,Discharged,Expired,admitted,Region
2,80,11/03/2020,0,0,2,ICT
0,95,11/03/2020,0,0,0,Pun
14,171,11/03/2020,1,0,13,Sind
0,28,11/03/2020,0,0,0,KP
0,0,11/03/2020,0,0,0,K
1,18,11/03/2020,0,0,1,Balochistan
0,4,11/03/2020,0,0,0,AJK
2,26,11/03/2020,0,0,2,GB
2,85,12/03/2020,0,0,2,ICT
0,105,12/03/2020,0,0,0,P
14,198,12/03/2020,2,0,12,Sindh
0,29,12/03/2020,0,0,0,KP
0,0,12/03/2020,0,0,0,KPTD
1,18,12/03/2020,0,0,1,Balochistan
0,8,12/03/2020,0,0,0,AJK
3,28,12/03/2020,0,0,3,GB
2,92,13/03/2020,0,0,2,ICT
0,110,13/03/2020,0,0,0,P
15,240,13/03/2020,2,0,13,Sindh
0,30,13/03/2020,0,0,0,KP
0,0,13/03/2020,0,0,0,KPTD
1,18,13/03/2020,0,0,1,Balochistan
0,9,13/03/2020,0,0,0,AJK
3,32,13/03/2020,0,0,3,GB
3,99,14/03/2020,0,0,3,ICT
0,116,14/03/2020,0,0,0,Punjab
16,282,14/03/2020,3,0,13,Sindh
0,31,14/03/2020,0,0,0,KP
0,0,14/03/2020,0,0,0,KPTD
6,35,14/03/2020,0,0,6,Balochistan
0,10,14/03/2020,0,0,0,AJK
3,36,14/03/2020,0,0,3,GB
4,115,15/03/2020,0,0,4,ICT
0,126,15/03/2020,0,0,0,Punjab
18,315,15/03/2020,3,0,15,Sindh
0,32,15/03/2020,0,0,0,KP
0,0,15/03/2020,0,0,0,KPTD
6,42,15/03/2020,0,0,6,Balochistan
0,11,15/03/2020,0,0,0,AJK
3,45,15/03/2020,0,0,3,GB
4,147,16/03/2020,0,0,4,ICT
1,166,16/03/2020,0,0,1,Punjab
34,364,16/03/2020,3,0,32,Sindh
0,32,16/03/2020,0,0,0,KP
0,0,16/03/2020,0,0,0,KPTD
5,40,16/03/2020,0,0,10,Balochistan
0,11,16/03/2020,0,0,0,AJK
3,45,16/03/2020,0,0,3,GB
6,28,16/03/2020,0,0,0,Mobile Lab
4,581,17-Mar-20,1,0,3,ICT
1,166,17/03/2020,0,0,1,Punjab
150,554,17/03/2020,3,0,147,Sindh
15,51,17/03/2020,0,0,15,KP
0,0,17/03/2020,0,0,0,KPTD
14,163,17/03/2020,0,0,14,Balochistan
0,11,17/03/2020,0,0,0,AJK
3,45,17/03/2020,0,0,3,GB
8,627,18/03/2020,1,0,3,ICT
26,133,18/03/2020,0,0,26,Punjab
172,606,18/03/2020,3,0,169,Sindh
17,42,18/03/2020,0,0,17,KP
0,0,18/03/2020,0,0,0,KPTD
15,151,18/03/2020,0,0,15,Balochistan
0,11,18/03/2020,0,0,0,AJK
3,51,18/03/2020,0,0,5,GB
5,184,19-Mar-20,2,0,3,ICT
33,254,19/03/2020,0,0,33,Punjab
208,908,19/03/2020,3,0,205,Sindh
19,67,19/03/2020,0,2,17,KP
0,0,19/03/2020,0,0,0,KPTD
23,637,19/03/2020,0,0,23,Balochistan
1,23,19/03/2020,0,0,1,AJK
13,90,19/03/2020,0,0,11,GB
10,277,20/03/2020,2,0,8,ICT
80,872,20-Mar-20,0,0,80,Punjab
245,1210,20/03/2020,3,0,242,Sindh
23,67,20/03/2020,0,2,21,KP
0,0,20/03/2020,0,0,0,KPTD
81,805,20/03/2020,0,0,81,Balochistan
1,36,20/03/2020,0,0,1,AJK
21,143,20/03/2020,0,0,21,GB
11,325,21-Mar-20,2,0,9,ICT
96,894,21-Mar-20,0,0,96,Punjab
253,1497,21/03/2020,3,1,249,Sindh
23,130,21/03/2020,0,2,21,KP
0,0,21/03/2020,0,0,0,KPTD
81,805,21/03/2020,0,0,81,Balochistan
1,40,21-Mar-20,0,0,1,AJK
30,310,21/03/2020,0,0,30,GB
11,366,22/03/2020,2,0,9,ICT
152,1361,22/03/2020,0,0,152,Punjab
396,1497,22/03/2020,3,1,392,Sindh
31,264,22/03/2020,0,2,29,KP
0,0,22/03/2020,0,0,0,KPTD
104,1380,22/03/2020,0,0,104,Balochistan
1,42,22/03/2020,0,0,1,AJK
55,315,22/03/2020,0,0,55,GB
15,404,23-Mar-20,2,0,13,ICT
225,1436,23/03/2020,0,0,225,Punjab
333,1512,23/03/2020,4,1,328,Sindh
31,305,23/03/2020,0,3,28,KP
108,1405,23/03/2020,0,1,107,Balochistan
1,44,23/03/2020,0,0,1,AJK
71,338,23/03/2020,0,0,71,GB
15,427,24/03/2020,2,0,13,ICT
249,1436,24/03/2020,0,0,249,Punjab
394,1579,24-Mar-20,4,1,389,Sindh
38,448,24/03/2020,0,3,35,KP
110,1407,24/03/2020,0,1,109,Balochistan
1,60,24/03/2020,0,0,1,AJK
80,500,24/03/2020,0,1,79,GB
18,459,25/03/2020,2,0,16,ICT
296,1436,25/03/2020,2,1,293,Punjab
407,1579,25/03/2020,14,1,392,Sindh
78,566,25/03/2020,0,3,75,KP
110,1437,25/03/2020,0,1,109,Balochistan
1,66,25/03/2020,0,0,1,AJK
81,580,25/03/2020,0,1,80,GB
25,561,26/03/2020,2,0,8,ICT
323,1436,26-Mar-20,3,2,318,Punjab
413,1592,26-Mar-20,14,1,398,Sindh
80,704,26-Mar-20,2,3,75,KP
131,1455,26-Mar-20,0,1,130,Balochistan
1,77,26-Mar-20,0,0,1,AJK
84,624,26-Mar-20,0,1,83,GB
25,712,27-Mar-20,2,0,12,ICT
408,2257,27-Mar-20,3,3,402,Punjab
417,1592,27-Mar-20,14,1,402,Sindh
123,917,27-Mar-20,2,3,118,KP
131,1512,27-Mar-20,0,1,130,Balochistan
2,83,27-Mar-20,0,0,2,AJK
91,762,27-Mar-20,2,1,88,GB
39,1056,28-Mar-20,2,0,8,ICT
490,3310,28-Mar-20,4,5,237,Punjab
457,5158,28-Mar-20,14,1,294,Sindh
180,1121,28-Mar-20,2,3,50,KP
133,1657,28-Mar-20,2,1,122,Balochistan
2,97,28-Mar-20,0,0,2,AJK
107,832,28-Mar-20,3,1,12,GB
43,1213,29-Mar-20,2,0,11,ICT
558,3492,29-Mar-20,4,5,247,Punjab
481,5673,29-Mar-20,14,2,294,Sindh
188,1229,29-Mar-20,2,4,60,KP
138,1737,29-Mar-20,2,1,130,Balochistan
2,97,29-Mar-20,0,0,2,AJK
116,895,29-Mar-20,4,1,12,GB
51,1310,30/03/2020,3,0,13,ICT
593,3492,30/03/2020,5,6,253,Punjab
508,5945,30/03/2020,16,5,306,Sindh
195,1324,30/03/2020,2,5,60,KP
144,1710,30/03/2020,2,1,133,Balochistan
6,105,30/03/2020,0,0,6,AJK
128,862,30/03/2020,4,1,12,GB
58,1469,31/03/2020,3,0,16,ICT
652,2500,31/03/2020,5,9,303,Punjab
627,6328,31/03/2020,42,7,315,Sindh
221,1512,31/03/2020,2,6,70,KP
153,1792,31/03/2020,2,1,139,Balochistan
6,177,31/03/2020,0,0,6,AJK
148,880,31/03/2020,4,2,12,GB
54,1703,01/04/2020,3,0,16,ICT
708,2720,01/04/2020,5,9,357,Punjab
676,6578,01/04/2020,51,8,385,Sindh
253,1271,01/04/2020,2,6,74,KP
158,1934,01/04/2020,17,1,124,Balochistan
6,239,01/04/2020,0,0,6,AJK
184,750,01/04/2020,4,2,12,GB
62,1997,02/04/2020,3,0,15,ICT
845,2945,02/04/2020,6,11,384,Punjab
743,6926,02/04/2020,58,9,387,Sindh
276,1814,02/04/2020,19,8,84,KP
169,2049,02/04/2020,17,1,125,Balochistan
9,249,02/04/2020,0,0,9,AJK
187,797,02/04/2020,4,2,12,GB
68,2395,03/04/2020,3,0,18,ICT
920,15134,03/04/2020,6,11,456,Punjab
783,7504,03/04/2020,65,11,410,Sindh
311,1938,03/04/2020,30,9,92,KP
169,2171,03/04/2020,17,1,125,Balochistan
9,322,03/04/2020,0,0,9,AJK
190,844,03/04/2020,5,3,12,GB
11,343,04/04/2020,0,0,11,AJK
175,2401,04/04/2020,17,1,132,Balochistan
193,860,04/04/2020,9,3,12,GB
75,2569,04/04/2020,3,0,14,ICT
343,1624,04/04/2020,30,11,92,KP
1072,16508,04/04/2020,6,11,506,Punjab
839,8625,04/04/2020,65,14,391,Sindh
12,385,05/04/2020,1,0,11,AJK
185,2513,05/04/2020,17,1,133,Balochistan
206,975,05/04/2020,9,3,12,GB
78,2744,05/04/2020,3,0,10,ICT
372,1769,05/04/2020,30,14,95,KP
1163,17653,05/04/2020,25,12,526,Punjab
864,8846,05/04/2020,85,15,390,Sindh
15,400,06/04/2020,1,0,14,AJK
191,2777,06/04/2020,30,1,112,Balochistan
210,998,06/04/2020,13,3,12,GB
82,2871,06/04/2020,3,0,11,ICT
405,1974,06/04/2020,62,16,120,KP
1493,17724,06/04/2020,25,15,653,Punjab
881,9131,06/04/2020,123,15,363,Sindh
18,484,07/04/2020,1,0,17,AJK
202,2998,07/04/2020,63,1,87,Balochistan
211,1015,07/04/2020,15,3,14,GB
83,2921,07/04/2020,3,1,17,ICT
500,2103,07/04/2020,69,17,138,KP
1918,20073,07/04/2020,25,15,751,Punjab
932,9589,07/04/2020,253,17,287,Sindh
19,534,08/04/2020,1,0,18,AJK
206,3091,08/04/2020,75,2,77,Balochistan
212,1127,08/04/2020,15,3,14,GB
92,3096,08/04/2020,3,1,17,ICT
527,2262,08/04/2020,70,18,197,KP
2030,21826,08/04/2020,34,16,713,Punjab
986,10223,08/04/2020,269,18,303,Sindh
